 [-1.89082508e+01  1.20898377e+02]
 [-1.92712415e+01  1.21830169e+02]
 [-1.96344705e+01  1.22761869e+02]
 [-1.99981412e+01  1.23693397e+02]
 [-2.03622556e+01  1.24624751e+02]
 [-2.07262007e+01  1.25556171e+02]
 [-2.10892359e+01  1.26487947e+02]
 [-2.14506205e+01  1.27420363e+02]
 [-2.18103605e+01  1.28353416e+02]
 [-2.21707441e+01  1.29286220e+02]
 [-2.25345302e+01  1.30217701e+02]
 [-2.29044663e+01  1.31146755e+02]
 [-2.32824499e+01  1.32072564e+02]
 [-2.36678457e+01  1.32995313e+02]
 [-2.40595023e+01  1.33915423e+02]
 [-2.44562775e+01  1.34833337e+02]
 [-2.48569994e+01  1.35749536e+02]
 [-2.52603838e+01  1.36664567e+02]
 [-2.56651268e+01  1.37578997e+02]
 [-2.60699269e+01  1.38493402e+02]
 [-2.64738513e+01  1.39408195e+02]
 [-2.68770776e+01  1.40323295e+02]
 [-2.72800171e+01  1.41238522e+02]
 [-2.76830810e+01  1.42153694e+02]
 [-2.80865181e+01  1.43068701e+02]
 [-2.84900875e+01  1.43983650e+02]
 [-2.88934456e+01  1.44898692e+02]
 [-2.92962483e+01  1.45813979e+02]
 [-2.96981404e+01  1.46729666e+02]
 [-3.00987329e+01  1.47645922e+02]
 [-3.04976292e+01  1.48562918e+02]
 [-3.08944319e+01  1.49480822e+02]
 [-3.12889935e+01  1.50399691e+02]
 [-3.16819187e+01  1.51319261e+02]
 [-3.20739726e+01  1.52239203e+02]
 [-3.24659215e+01  1.53159190e+02]
 [-3.28583252e+01  1.54078983e+02]
 [-3.32511270e+01  1.54998607e+02]
 [-3.36441390e+01  1.55918140e+02]
 [-3.40371731e+01  1.56837664e+02]
 [-3.44300905e+01  1.57757238e+02]
 [-3.48228985e+01  1.58676858e+02]
 [-3.52156355e+01  1.59596509e+02]
 [-3.56083405e+01  1.60516173e+02]
 [-3.60011614e+01  1.61435788e+02]
 [-3.63945720e+01  1.62355151e+02]
 [-3.67891154e+01  1.63274028e+02]
 [-3.71853333e+01  1.64192185e+02]
 [-3.75835181e+01  1.65109490e+02]
 [-3.79832242e+01  1.66026133e+02]
 [-3.83838491e+01  1.66942375e+02]
 [-3.87847911e+01  1.67858479e+02]
 [-3.91855729e+01  1.68774652e+02]
 [-3.95860858e+01  1.69690943e+02]
 [-3.99863004e+01  1.70607365e+02]
 [-4.03861868e+01  1.71523929e+02]
 [-4.07855421e+01  1.72440726e+02]
 [-4.11836501e+01  1.73358064e+02]
 [-4.15796825e+01  1.74276300e+02]
 [-4.19728093e+01  1.75195784e+02]
 [-4.23626228e+01  1.76116677e+02]
 [-4.27499714e+01  1.77038610e+02]
 [-4.31359788e+01  1.77961106e+02]
 [-4.35217702e+01  1.78883692e+02]
 [-4.39081589e+01  1.79806028e+02]
 [-4.42950364e+01  1.80728159e+02]
 [-4.46820948e+01  1.81650214e+02]
 [-4.50690312e+01  1.82572321e+02]
 [-4.54558224e+01  1.83494488e+02]
 [-4.58426220e+01  1.84416652e+02]
 [-4.62294216e+01  1.85338815e+02]
 [-4.66162212e+01  1.86260979e+02]
 [-4.70030208e+01  1.87183143e+02]
 [-4.73898205e+01  1.88105307e+02]
 [-4.77766201e+01  1.89027471e+02]
 [-4.81634197e+01  1.89949634e+02]
 [-4.85502193e+01  1.90871798e+02]
 [-4.89370189e+01  1.91793962e+02]
 [-4.93238185e+01  1.92716126e+02]
 [-4.97106181e+01  1.93638290e+02]
 [-5.00974177e+01  1.94560453e+02]
 [-5.04842174e+01  1.95482617e+02]
 [-5.08710170e+01  1.96404781e+02]
 [-5.12578166e+01  1.97326945e+02]
 [-5.16446162e+01  1.98249109e+02]
 [-5.20314158e+01  1.99171272e+02]
 [-5.24182154e+01  2.00093436e+02]
 [-5.28050150e+01  2.01015600e+02]
 [-5.31918147e+01  2.01937764e+02]
 [-5.35786143e+01  2.02859927e+02]
 [-5.39654139e+01  2.03782091e+02]
 [-5.43522135e+01  2.04704255e+02]
 [-5.47390131e+01  2.05626419e+02]
 [-5.51258127e+01  2.06548583e+02]
 [-5.55126123e+01  2.07470746e+02]
 [-5.58994119e+01  2.08392910e+02]
 [-5.62862116e+01  2.09315074e+02]
 [-5.66730112e+01  2.10237238e+02]
 [-5.68436034e+01  2.10643945e+02]]
